Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Jun 11 16:00,357.75,195.25,20.725,32.35,44.4068325,280.6028924,270.25,0.925,40.5921268,0,22.7196,75.8577,32.3,537,51,190,7,382
Year 1 Jun 11 17:00,239.5,162,21.25,31.775,30.89364509,284.135003,254,1.05,39.50325294,0,22.7196,75.8577,31.6,424,55,211,7,285
Year 1 Jun 11 18:00,89.5,14.75,22.45,31,17.60681963,288.222172,200,0.95,35.90222003,0,22.7196,75.8577,30.8,110,62,15,7,103
Year 1 Jun 11 19:00,36.75,10.5,23.475,30.125,4.660529024,293.0923168,115,0.675,34.088735,0,22.7196,75.8577,29.9,52,69,14,7,49
Year 1 Jun 11 20:00,0,0,24.225,29.375,-7.767229701,299.0980804,23,0.15,32.0533237,0,22.7196,75.8577,29.2,0,75,0,7,0
Year 1 Jun 11 21:00,0,0,24.025,28.75,-19.38648459,306.7695519,0,0,31.29802271,0,22.7196,75.8577,28.6,0,76,0,8,0
Year 1 Jun 11 22:00,0,0,23.45,28.225,-29.71376997,316.8557059,0,0,30.64769084,0,22.7196,75.8577,28.1,0,75,0,8,0
Year 1 Jun 11 23:00,0,0,22.625,27.725,-37.9639421,330.2016621,0,0,29.82730656,0,22.7196,75.8577,27.6,0,73,0,8,0
Year 1 Jun 12 00:00,0,0,22.25,27.15,-43.03062549,347.087899,69,0.525,29.3417237,0,22.7196,75.8577,27,0,75,0,7,0
Year 1 Jun 12 01:00,0,0,22.05,26.4,-43.80027819,5.962840012,161,1.525,28.510796,0,22.7196,75.8577,26.2,0,78,0,7,0
Year 1 Jun 12 02:00,0,0,22.225,25.6,-40.21468656,23.87853541,232,2.55,27.53229921,0,22.7196,75.8577,25.4,0,83,0,6,0
