1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Convection Heat Transfer Coefficient  (W/m2-K)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 08 03:00","0","0","11","17.9947927400646","6.75127046047793","13.1277563478493","13.5799374168077"
"Year 1 Jan 08 04:00","0","0","10.55","17.6807287321999","6.32867824457323","12.5190627766611","-8.79764489220679"
"Year 1 Jan 08 05:00","0","0","9.95","17.3560364336645","3.86229708988599","12.4047229046161","-29.2531857201323"
"Year 1 Jan 08 06:00","0","0","9.725","17.0340164781788","2.50532751172867","12.0882631610818","-47.4735638721009"
"Year 1 Jan 08 07:00","0","0","10.525","16.7288636329937","1.84893843287771","11.9763522263854","-63.0167451130383"
"Year 1 Jan 08 08:00","12.5","71.25","12","16.4558469671306","0.99165499822811","12.407658252362","-79.0043518447396"
"Year 1 Jan 08 09:00","55.5","381.5","14.575","16.2245319788701","1.44987485241622","14.3934877309038","-92.8427046814279"
"Year 1 Jan 08 10:00","64.5","754.75","17.55","16.0815035883892","1.60477940217094","17.05312095003","-102.18435901103"
"Year 1 Jan 08 11:00","81.25","877.5","20.625","16.0780189831238","1.76281400251171","19.5240088099266","-101.476718216944"
"Year 1 Jan 08 12:00","186.75","549","22.9","16.2376913567234","1.59507286198501","22.350608472386","-89.5965925572248"
"Year 1 Jan 08 13:00","155.5","704","24.525","16.5493421875864","1.46506182353958","23.592950743252","-64.4089633243177"
"Year 1 Jan 08 14:00","182.5","606","25.125","16.9757419068794","1.30553524285096","24.6350566523145","-30.5122050051619"
"Year 1 Jan 08 15:00","201.5","461","25.275","17.4566932333094","2.05750224661627","25.5284372223307","6.32489389578158"
"Year 1 Jan 08 16:00","157.25","421.25","24.625","17.9590250473761","3.65404424988375","25.054165124449","41.445272939608"
"Year 1 Jan 08 17:00","117.5","213.25","23.65","18.4411622289386","3.95444482887223","23.9611330745","72.4106809928271"
"Year 1 Jan 08 18:00","29.5","41","21.975","18.8323390099975","3.95344935438256","21.7781765573741","98.8100058892243"
"Year 1 Jan 08 19:00","0","0","20.3","19.09202232429","3.32710418182809","20.2003353195384","114.530669308561"
"Year 1 Jan 08 20:00","0","0","18.475","19.2025849351589","1.54616339312191","19.0519039936716","117.401001296743"
"Year 1 Jan 08 21:00","0","0","17.25","19.1894278096616","1.41440848002514","18.0012928180623","110.969382560561"
"Year 1 Jan 08 22:00","0","0","16.175","19.0912809908713","1.48683611206579","17.4510413300517","97.4566738312959"
"Year 1 Jan 08 23:00","0","0","15.375","18.9350164163167","1.6185207585251","17.0436038474442","81.2037836137712"
"Year 1 Jan 09 00:00","0","0","14.225","18.7522199462293","1.87352058972395","16.1763634348512","64.1387482636745"
"Year 1 Jan 09 01:00","0","0","13.225","18.5480575691987","2.52989267099568","15.3378748952675","48.1499423181379"
"Year 1 Jan 09 02:00","0","0","11.95","18.3217391247084","3.08925519228553","14.4830280160812","30.872805065057"
"Year 1 Jan 09 03:00","0","0","11.075","18.0680187578718","3.60024348483339","13.9101753663593","13.5325671008489"
"Year 1 Jan 09 04:00","0","0","10.225","17.7953297615177","3.48917289100674","13.1809891146535","-4.58598509310147"
"Year 1 Jan 09 05:00","0","0","10.45","17.5099043380714","2.01873363638611","12.7604426280412","-22.2384563548488"
"Year 1 Jan 09 06:00","0","0","10.075","17.2202562757615","1.81111798046042","12.6125069626502","-39.9310276030562"
"Year 1 Jan 09 07:00","0","0","10.65","16.9314394516807","2.63019469022339","12.4794809581024","-54.5990335657126"
