1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","Environment"
"Year 1 Jan 07 09:00","17.9344772667499","276.5","109.5","-100.002711336927","20.9123171835234","13.9"
"Year 1 Jan 07 10:00","19.9427931184518","574.75","136.25","-109.205422219381","20.6903735750268","16.1"
"Year 1 Jan 07 11:00","21.6352634171985","767","120.5","-111.14508242581","20.5968521338388","18.9"
"Year 1 Jan 07 12:00","23.2475511325496","840","116","-103.45188188134","20.6354674415573","21.7"
"Year 1 Jan 07 13:00","25.0542597357473","859.5","115.5","-87.6418347623146","20.7892352495237","23.075"
"Year 1 Jan 07 14:00","30.9939597748993","845.75","112","-63.7012415603655","21.0363007392171","23.9"
"Year 1 Jan 07 15:00","37.6218989736312","794","103.75","-28.460918408625","21.4415279397953","24.775"
"Year 1 Jan 07 16:00","41.7588896209267","665.5","95.25","25.5477443619328","22.1231850746546","24.85"
"Year 1 Jan 07 17:00","40.0918442250835","392.5","78.75","100.164133895942","23.0755851733987","24.65"
"Year 1 Jan 07 18:00","31.9098451368583","61.5","33.75","183.643311353729","24.0919410905382","24.45"
"Year 1 Jan 07 19:00","27.042033847087","0","0","240.698056631375","24.8689500859001","23.2"
"Year 1 Jan 07 20:00","25.0580225100175","0","0","257.933110804841","25.2330531105643","21.6"
"Year 1 Jan 07 21:00","23.5593478122691","0","0","243.583855638372","25.2628710341115","20"
"Year 1 Jan 07 22:00","22.3058516901685","0","0","213.505258375205","25.0936553200628","19"
"Year 1 Jan 07 23:00","21.1400937010044","0","0","176.82204395643","24.8195249773617","18.2"
"Year 1 Jan 08 00:00","20.0331392570355","0","0","138.9586304355","24.4866951412115","17.4"
"Year 1 Jan 08 01:00","19.2909126973807","0","0","101.647918669067","24.1205039614085","16.75"
"Year 1 Jan 08 02:00","18.7544782176457","0","0","66.4896242866199","23.7360268608223","16.15"
"Year 1 Jan 08 03:00","18.2660795709628","0","0","34.1998135795874","23.3531202113837","15.55"
"Year 1 Jan 08 04:00","17.5465671945046","0","0","5.8658366690806","22.9813345084867","14.5"
"Year 1 Jan 08 05:00","16.6500934935031","0","0","-18.441736579581","22.6170693706849","13.3"
"Year 1 Jan 08 06:00","15.6687021302212","0","0","-40.5543341558552","22.2508641668979","12.1"
"Year 1 Jan 08 07:00","15.4877711913609","0","0","-61.7999894156834","21.8732170108668","13.075"
"Year 1 Jan 08 08:00","16.3050701126981","53.25","34.25","-83.828220125978","21.5000474385766","14.775"
"Year 1 Jan 08 09:00","18.3355828963179","293.75","106.5","-104.070943196948","21.1756222101573","16.475"
"Year 1 Jan 08 10:00","20.3529683959227","581.75","130.75","-115.841219433343","20.9499683819938","18.175"
"Year 1 Jan 08 11:00","22.01397111084","733.75","129","-116.211636425943","20.8603732619745","19.875"
"Year 1 Jan 08 12:00","23.663749238402","759.5","147.5","-106.111571875602","20.9052974914108","21.575"
"Year 1 Jan 08 13:00","25.7702364325114","664.25","201","-87.7874538337149","21.0626407426865","22.45"
"Year 1 Jan 08 14:00","30.662398071855","494.25","256.25","-61.7264051276769","21.3184913124103","23.05"
"Year 1 Jan 08 15:00","33.8194623621691","340","258.25","-26.0375789682805","21.7234189265582","23.65"
"Year 1 Jan 08 16:00","35.662615272198","286.75","188.25","20.9051514526199","22.3187330271825","23.725"
"Year 1 Jan 08 17:00","33.0051805345956","112","128","77.0630073255036","23.0396751949552","23.55"
"Year 1 Jan 08 18:00","28.1212487176078","9.75","33","131.439535549843","23.7271927747223","23.425"
"Year 1 Jan 08 19:00","25.1363471734793","0","0","163.554040601483","24.2030961903009","22.575"
"Year 1 Jan 08 20:00","23.4457575654623","0","0","170.25920938606","24.3991904263422","21.4"
"Year 1 Jan 08 21:00","22.0541727360896","0","0","157.496361214518","24.3739084866554","20.275"
"Year 1 Jan 08 22:00","20.9570034819026","0","0","134.108482374705","24.2057976029645","19.25"
"Year 1 Jan 08 23:00","20.0017780074096","0","0","106.233146080402","23.9505998003245","18.25"
"Year 1 Jan 09 00:00","19.0944696343296","0","0","76.9783117308337","23.6459579599156","17.25"
"Year 1 Jan 09 01:00","18.4866220960383","0","0","47.9903701355541","23.3129772863949","16.625"
"Year 1 Jan 09 02:00","18.0063564265865","0","0","19.8093407103859","22.9693025518546","16.05"
"Year 1 Jan 09 03:00","17.5935861078808","0","0","-5.6054704503613","22.626152228659","15.525"
"Year 1 Jan 09 04:00","17.1279387983996","0","0","-28.0166735334217","22.2921001542294","15.025"
"Year 1 Jan 09 05:00","16.6294739441886","0","0","-47.3095800511202","21.9682503030591","14.45"
"Year 1 Jan 09 06:00","16.1461468265821","0","0","-63.7676401038242","21.6499939086101","13.925"
"Year 1 Jan 09 07:00","15.6858428024648","0","0","-79.6816486635935","21.3406540831587","13.575"
"Year 1 Jan 09 08:00","15.7649269990665","54.5","33.5","-94.6007431639826","21.0387176943104","13.35"
"Year 1 Jan 09 09:00","16.9024938725115","295.25","108.25","-107.651678246664","20.7508023057618","13.075"
"Year 1 Jan 09 10:00","18.7804689848662","590","129.75","-116.772160172088","20.5128128597667","15.475"
"Year 1 Jan 09 11:00","20.7801438601156","789.25","106.25","-121.909186873766","20.3833939156266","18.7"
"Year 1 Jan 09 12:00","23.0876231950314","811.25","126.5","-117.590019320072","20.3829118412514","21.975"
"Year 1 Jan 09 13:00","25.3156390030326","738.75","169.75","-103.203927377637","20.5185005635158","23.4"
"Year 1 Jan 09 14:00","30.4635131454173","535","244","-77.1705755171802","20.7771991273443","24.2"
"Year 1 Jan 09 15:00","34.6255419614606","394.75","250.25","-39.1865274829314","21.2012160527539","25"
"Year 1 Jan 09 16:00","39.9020221228009","538","145.5","12.45897764807","21.8398625930541","25.125"
"Year 1 Jan 09 17:00","39.6847383029104","379.5","86","77.7012118569779","22.709420004679","25.1"
"Year 1 Jan 09 18:00","32.2080340867277","69.75","35.25","156.66906632897","23.6687604155491","25.025"
"Year 1 Jan 09 19:00","27.1999945243486","0","0","215.121203910844","24.4531265004155","24.025"
"Year 1 Jan 09 20:00","25.2011003257108","0","0","237.32898549813","24.8623429464143","22.65"
"Year 1 Jan 09 21:00","23.7143495665575","0","0","228.375240893712","24.9447627632979","21.325"
"Year 1 Jan 09 22:00","22.4704333670356","0","0","202.886634858777","24.824767434866","20.025"
"Year 1 Jan 09 23:00","21.314871621851","0","0","170.757547088842","24.590398187952","18.65"
"Year 1 Jan 10 00:00","20.2314621301068","0","0","137.285176910853","24.2879576396606","17.325"
"Year 1 Jan 10 01:00","19.4469649852999","0","0","103.150756885643","23.9473336672279","16.7"
"Year 1 Jan 10 02:00","18.8362768933586","0","0","69.5346064295162","23.5880891297378","16.3"
"Year 1 Jan 10 03:00","18.2942139169741","0","0","38.1922257292993","23.2255219707558","15.9"
"Year 1 Jan 10 04:00","17.6566421658154","0","0","10.1753765345854","22.8683156864927","15.2"
"Year 1 Jan 10 05:00","16.980442377333","0","0","-14.3478468769453","22.517036391386","14.4"
"Year 1 Jan 10 06:00","16.2916768608595","0","0","-36.3527062404422","22.1683233192758","13.6"
"Year 1 Jan 10 07:00","15.7931933779784","0","0","-56.3438148702322","21.8177887562961","13.4"
"Year 1 Jan 10 08:00","15.8967491586327","54.5","33.5","-74.8038341085721","21.4667837301055","13.4"
"Year 1 Jan 10 09:00","17.0724932271768","290.75","110.25","-92.6178260549067","21.138259078791","13.475"
"Year 1 Jan 10 10:00","19.1647416806901","569","140.5","-105.828096598465","20.8681196011627","16.125"
"Year 1 Jan 10 11:00","21.2956468533023","771","119.75","-113.852125610302","20.7175105802159","19.55"
"Year 1 Jan 10 12:00","23.5797760677792","843.5","116.25","-111.196695423455","20.7103726967762","23.025"
"Year 1 Jan 10 13:00","25.7706486023001","860.5","117","-97.8749002880678","20.8503294816202","24.725"
"Year 1 Jan 10 14:00","32.0109406651113","842","115.5","-72.4461599683794","21.1171285507683","25.75"
"Year 1 Jan 10 15:00","38.7584326263497","783.75","109.25","-33.3947363831023","21.5672568544591","26.75"
"Year 1 Jan 10 16:00","42.7534454331689","651.75","101.75","26.1847394806579","22.3059042209038","26.625"
"Year 1 Jan 10 17:00","40.8510480988863","384","83.25","104.693351890093","23.319571329524","26.05"
"Year 1 Jan 10 18:00","32.8488304541174","65.25","36","192.459124322136","24.3786474950379","25.525"
"Year 1 Jan 10 19:00","27.7194173723713","0","0","252.327953387283","25.1888457409509","24.125"
"Year 1 Jan 10 20:00","25.5727900726943","0","0","271.030951377767","25.5788115562981","22.5"
"Year 1 Jan 10 21:00","23.9162974944219","0","0","256.657899771158","25.6231563011912","20.825"
"Year 1 Jan 10 22:00","22.6334815540656","0","0","225.5712963216","25.4563769948844","19.575"
"Year 1 Jan 10 23:00","21.5256746802387","0","0","187.442824590841","25.175378275743","18.4"
"Year 1 Jan 11 00:00","20.5279740582786","0","0","148.677530780415","24.8313950181239","17.275"
"Year 1 Jan 11 01:00","19.6502115114382","0","0","110.653263854756","24.4571458742508","16.4"
"Year 1 Jan 11 02:00","18.8720388077645","0","0","74.9615857323487","24.0675190672831","15.675"
"Year 1 Jan 11 03:00","18.1210075609609","0","0","41.5704689563817","23.6744835829771","14.9"
"Year 1 Jan 11 04:00","17.3937568788559","0","0","11.2290761241716","23.2816109244017","14.1"
"Year 1 Jan 11 05:00","16.709702467639","0","0","-16.2655427256059","22.8901353495749","13.375"
"Year 1 Jan 11 06:00","16.0247454597908","0","0","-41.1188015154406","22.5000856357519","12.6"
"Year 1 Jan 11 07:00","15.4997376221427","0","0","-63.3775397579083","22.1101995636885","12.475"
"Year 1 Jan 11 08:00","15.6103048426899","54.5","33.5","-83.7741218197823","21.7238969256705","12.65"
