1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Nov 21 02:00","0","0","16.05","25.4438828602384","19.4240481978719"
"Year 1 Nov 21 03:00","0","0","15.525","25.0626985290572","18.8002553735953"
"Year 1 Nov 21 04:00","0","0","16.225","24.6811482351076","18.5522390677885"
"Year 1 Nov 21 05:00","0","0","17.4","24.3106352017928","18.626586507274"
"Year 1 Nov 21 06:00","0","0","18.525","23.9789065122715","18.8500112962696"
"Year 1 Nov 21 07:00","0","0","19.4","23.6920366544916","19.1180106813609"
"Year 1 Nov 21 08:00","61.5","96.5","20.2","23.4542312391207","20.5333082407411"
"Year 1 Nov 21 09:00","141.75","375.25","21","23.2817885612411","23.2508009260338"
"Year 1 Nov 21 10:00","159.5","606.25","23.075","23.2257347353888","26.1649792915399"
"Year 1 Nov 21 11:00","126.75","786.75","25.5","23.33455820649","28.6538554552992"
"Year 1 Nov 21 12:00","135.75","818.5","27.975","23.6063035743555","31.0775910405668"
"Year 1 Nov 21 13:00","161","770.5","29.425","24.0195268917182","32.799571726877"
"Year 1 Nov 21 14:00","221.25","573.75","30.6","24.5302240781091","33.9710081422283"
"Year 1 Nov 21 15:00","249.25","345.25","31.725","25.0982149591332","34.4268909522557"
"Year 1 Nov 21 16:00","151.75","389.25","31.25","25.6797460321273","33.3921815213756"
"Year 1 Nov 21 17:00","81","227.25","30.25","26.1907386558365","31.4348051867638"
"Year 1 Nov 21 18:00","12","0","29.25","26.5783494682205","29.1497002447677"
"Year 1 Nov 21 19:00","0","0","27.35","26.8037108015399","27.6035925653941"
"Year 1 Nov 21 20:00","0","0","25.15","26.8673044533572","26.2036682823669"
"Year 1 Nov 21 21:00","0","0","22.95","26.8051582974385","24.904026486505"
"Year 1 Nov 21 22:00","0","0","21.875","26.6481645690876","23.9464636263409"
"Year 1 Nov 21 23:00","0","0","21.1","26.4314970500448","23.1780050199263"
"Year 1 Nov 22 00:00","0","0","20.375","26.1758885198239","22.4821186130857"
"Year 1 Nov 22 01:00","0","0","19.825","25.8998863213887","21.8682891015056"
"Year 1 Nov 22 02:00","0","0","19.25","25.6150066507925","21.3210563033063"
"Year 1 Nov 22 03:00","0","0","18.725","25.3253901402938","20.7703667694523"
"Year 1 Nov 22 04:00","0","0","18.3","25.0353310236258","20.2776818893987"
"Year 1 Nov 22 05:00","0","0","17.9","24.7453516572246","19.7633759263334"
"Year 1 Nov 22 06:00","0","0","17.5","24.4533737290762","19.2831598745301"
"Year 1 Nov 22 07:00","0","0","18.3","24.1670522209287","19.2109315848331"
"Year 1 Nov 22 08:00","59.25","35.75","19.5","23.8995840043774","20.4537081846054"
"Year 1 Nov 22 09:00","153.75","183.75","20.7","23.6788449805094","22.966748116928"
"Year 1 Nov 22 10:00","218","316.5","22.875","23.5664471300573","25.8479590805782"
"Year 1 Nov 22 11:00","282.25","349","25.45","23.6158218333044","28.8082431997283"
"Year 1 Nov 22 12:00","317.5","376.75","27.975","23.8420446569387","31.4275072146604"
"Year 1 Nov 22 13:00","288","476","29.2","24.2313140182533","33.0493558068219"
"Year 1 Nov 22 14:00","230.25","552.75","30","24.7304816235181","33.8148096546299"
"Year 1 Nov 22 15:00","189.75","537","30.8","25.2853058259254","34.1390015795975"
"Year 1 Nov 22 16:00","144.25","420.75","30.325","25.8391706536026","33.0902149257242"
"Year 1 Nov 22 17:00","87.5","195.75","29.35","26.3169576687018","30.9957240315776"
"Year 1 Nov 22 18:00","11.5","0","28.425","26.670454218068","28.5130725500512"
"Year 1 Nov 22 19:00","0","0","26.475","26.8579402217482","26.9146146830147"
"Year 1 Nov 22 20:00","0","0","24.25","26.8792237769981","25.5125807598956"
"Year 1 Nov 22 21:00","0","0","21.975","26.7748528834874","24.1337125728228"
"Year 1 Nov 22 22:00","0","0","20.875","26.5759212107269","23.1307204481459"
"Year 1 Nov 22 23:00","0","0","20.175","26.3202445666005","22.3398102913192"
"Year 1 Nov 23 00:00","0","0","19.4","26.02823154265","21.6086898078421"
"Year 1 Nov 23 01:00","0","0","19.05","25.7178956822939","21.045114775652"
"Year 1 Nov 23 02:00","0","0","18.85","25.402229581119","20.5992243150567"
"Year 1 Nov 23 03:00","0","0","18.65","25.0888160875241","20.2557629825008"
"Year 1 Nov 23 04:00","0","0","18.375","24.7833194106017","19.8538512027594"
"Year 1 Nov 23 05:00","0","0","18.15","24.4867368551078","19.4847772917102"
"Year 1 Nov 23 06:00","0","0","17.875","24.2039526298874","19.1427462062166"
"Year 1 Nov 23 07:00","0","0","18.025","23.9328671844612","18.9130635649252"
"Year 1 Nov 23 08:00","60","62","18.25","23.6764916070014","19.7756068264662"
"Year 1 Nov 23 09:00","145.25","292","18.525","23.4518544932376","21.7446899821793"
"Year 1 Nov 23 10:00","183","487","20.775","23.3112421817121","24.2966336352503"
"Year 1 Nov 23 11:00","211.75","574.75","23.6","23.3105994950465","27.0270880188481"
"Year 1 Nov 23 12:00","250.5","561.75","26.475","23.4680959637957","29.6162285260719"
"Year 1 Nov 23 13:00","308.75","410.75","27.65","23.7820577221268","31.2220566972157"
"Year 1 Nov 23 14:00","329","216.75","28.25","24.2076838684981","31.8429596170107"
"Year 1 Nov 23 15:00","266.25","86","28.85","24.6900810680403","31.431340521794"
"Year 1 Nov 23 16:00","187.75","45.5","28.325","25.1630558286309","30.2571890809452"
"Year 1 Nov 23 17:00","87.5","10.5","27.5","25.5512805541894","28.37926892099"
"Year 1 Nov 23 18:00","7","0","26.625","25.8130964003195","26.4722618377969"
"Year 1 Nov 23 19:00","0","0","25.575","25.9301904883206","25.3790665204926"
"Year 1 Nov 23 20:00","0","0","24.55","25.9208371250773","24.5131006026919"
"Year 1 Nov 23 21:00","0","0","23.475","25.8247747686885","23.7249429385663"
"Year 1 Nov 23 22:00","0","0","22.225","25.6698998243323","22.9224267125145"
"Year 1 Nov 23 23:00","0","0","21","25.4736929933554","22.1096078535244"
"Year 1 Nov 24 00:00","0","0","19.725","25.2473278885956","21.2621816019349"
"Year 1 Nov 24 01:00","0","0","19.025","24.9949461840899","20.6061764736392"
"Year 1 Nov 24 02:00","0","0","18.6","24.7238141169294","20.099210516388"
"Year 1 Nov 24 03:00","0","0","18.125","24.4417753839348","19.6343395361711"
"Year 1 Nov 24 04:00","0","0","17.475","24.1550790757842","19.1264832826098"
"Year 1 Nov 24 05:00","0","0","16.85","23.8654469371013","18.6123503154158"
"Year 1 Nov 24 06:00","0","0","16.175","23.5796329098505","18.088033415803"
"Year 1 Nov 24 07:00","0","0","16.45","23.2936320883705","17.8475338685741"
"Year 1 Nov 24 08:00","46.5","5.25","17.05","23.0171046049455","18.6563893972118"
"Year 1 Nov 24 09:00","146.75","33.25","17.65","22.7710721705471","20.6896239863205"
"Year 1 Nov 24 10:00","234.75","79","19.975","22.610278373087","23.4747449313187"
"Year 1 Nov 24 11:00","297.25","107.5","22.8","22.5965562202678","26.3159758829418"
"Year 1 Nov 24 12:00","341.75","139.75","25.675","22.751816074326","29.0514998375763"
"Year 1 Nov 24 13:00","352.25","256.75","26.55","23.0715047918719","31.0041021445702"
"Year 1 Nov 24 14:00","295.25","381","26.675","23.5130575579429","31.6723338897843"
"Year 1 Nov 24 15:00","226","440","26.85","24.0223281974378","31.4983878817677"
"Year 1 Nov 24 16:00","165.5","385.5","27.05","24.5320954201641","30.5463990900238"
"Year 1 Nov 24 17:00","81.75","234","27.175","24.96679990499","28.7390722535866"
"Year 1 Nov 24 18:00","12","0","27.35","25.2849544623003","26.7926381918492"
"Year 1 Nov 24 19:00","0","0","26.5","25.4595185410293","25.7109490704349"
"Year 1 Nov 24 20:00","0","0","25.375","25.4990998822022","24.8488652978265"
"Year 1 Nov 24 21:00","0","0","24.2","25.4461703558261","24.0428164278497"
"Year 1 Nov 24 22:00","0","0","23","25.3305474038576","23.2499285759982"
"Year 1 Nov 24 23:00","0","0","21.875","25.1688202428532","22.4895437639019"
"Year 1 Nov 25 00:00","0","0","20.7","24.9729714303919","21.7306717854926"
"Year 1 Nov 25 01:00","0","0","19.875","24.7503236322182","21.0019107965032"
"Year 1 Nov 25 02:00","0","0","19.25","24.5085338034859","20.3091112936137"
"Year 1 Nov 25 03:00","0","0","18.575","24.2491052097828","19.616096932374"
"Year 1 Nov 25 04:00","0","0","18.025","23.9741113632194","19.0654918143266"
"Year 1 Nov 25 05:00","0","0","17.45","23.6873711887301","18.5778258464476"
"Year 1 Nov 25 06:00","0","0","16.925","23.3936160147711","18.1266983477972"
"Year 1 Nov 25 07:00","0","0","17.325","23.1057607355992","18.0508025062062"
"Year 1 Nov 25 08:00","56.5","84.75","18.1","22.8339649799743","19.21431682366"
"Year 1 Nov 25 09:00","134","377.25","18.825","22.6064718606716","21.7607482055133"
"Year 1 Nov 25 10:00","149.5","619.25","21.1","22.4848693699086","24.5086025947666"
"Year 1 Nov 25 11:00","132.75","773.25","23.9","22.5261022442314","26.9889720210314"
"Year 1 Nov 25 12:00","133.25","821.5","26.7","22.7329456385239","29.3690897256549"
"Year 1 Nov 25 13:00","134.5","827.25","27.775","23.0872603724325","30.9223577493608"
"Year 1 Nov 25 14:00","124.25","809.5","28.35","23.5388072482988","31.7507889899753"
"Year 1 Nov 25 15:00","118.5","729.75","28.875","24.0427015202312","31.9910304875854"
"Year 1 Nov 25 16:00","120.5","533.75","28.7","24.5525208787097","31.3312977773501"
"Year 1 Nov 25 17:00","84","244.5","28.225","25.0010108621316","29.6106314066615"
"Year 1 Nov 25 18:00","12","0","27.725","25.3456632543349","27.3604174702698"
"Year 1 Nov 25 19:00","0","0","26.025","25.5447578123679","25.935144253609"
"Year 1 Nov 25 20:00","0","0","23.85","25.5918588865458","24.6398596842195"
"Year 1 Nov 25 21:00","0","0","21.725","25.5212932512528","23.361243767009"
"Year 1 Nov 25 22:00","0","0","19.625","25.3585352205957","22.0831846528946"
"Year 1 Nov 25 23:00","0","0","17.45","25.1237000435527","20.7559849697324"
"Year 1 Nov 26 00:00","0","0","15.325","24.8296317719187","19.4123687241457"
"Year 1 Nov 26 01:00","0","0","15.175","24.4859570577978","18.7494186444756"
"Year 1 Nov 26 02:00","0","0","15.75","24.1188158847684","18.5102782267936"
"Year 1 Nov 26 03:00","0","0","16.275","23.7501371161328","18.3606178047782"
"Year 1 Nov 26 04:00","0","0","16.175","23.3991876717877","18.0788328208366"
"Year 1 Nov 26 05:00","0","0","15.8","23.0712086249834","17.7131423830351"
"Year 1 Nov 26 06:00","0","0","15.475","22.7686361174299","17.3604405573282"
"Year 1 Nov 26 07:00","0","0","16.3","22.4832160944903","17.3056022221469"
"Year 1 Nov 26 08:00","55.25","83","17.5","22.2225550905993","18.5288226566451"
"Year 1 Nov 26 09:00","132","378","18.7","22.0088929814505","21.0627819784074"
"Year 1 Nov 26 10:00","146.25","628.25","21.175","21.9023475327698","23.7640117555389"
"Year 1 Nov 26 11:00","124.25","794.25","24.15","21.9550879394195","26.2836627988912"
"Year 1 Nov 26 12:00","120","852","27.075","22.1714323797039","28.7416308904886"
"Year 1 Nov 26 13:00","121.75","857.75","28.625","22.5350611396117","30.5192084669599"
"Year 1 Nov 26 14:00","115.5","835.5","29.8","23.0022780866534","31.7034919987252"
"Year 1 Nov 26 15:00","113.5","750.75","30.925","23.532976428529","32.3263507724118"
"Year 1 Nov 26 16:00","121.75","546.5","30.525","24.0856775704491","31.8303227386899"
"Year 1 Nov 26 17:00","79","269.25","29.55","24.5984969730379","29.9777893694104"
"Year 1 Nov 26 18:00","12.5","0","28.625","25.0017010259176","27.6654908750291"
"Year 1 Nov 26 19:00","0","0","25.775","25.2488133212851","25.8863424859604"
"Year 1 Nov 26 20:00","0","0","22.2","25.3212743975271","23.9679503767503"
"Year 1 Nov 26 21:00","0","0","18.675","25.2423778038004","21.9698452977683"
"Year 1 Nov 26 22:00","0","0","17.5","25.0344123395084","20.7437220635341"
"Year 1 Nov 26 23:00","0","0","17.1","24.7477333446887","19.9823982875869"
"Year 1 Nov 27 00:00","0","0","16.7","24.411706494172","19.3429943512883"
"Year 1 Nov 27 01:00","0","0","16.3","24.0571810740839","18.7692568425366"
"Year 1 Nov 27 02:00","0","0","15.9","23.7010081340521","18.2542342155334"
"Year 1 Nov 27 03:00","0","0","15.5","23.3498492333153","17.7800627820924"
"Year 1 Nov 27 04:00","0","0","15.025","23.0056562915322","17.2914778087283"
"Year 1 Nov 27 05:00","0","0","14.6","22.6670392250163","16.8262294907189"
"Year 1 Nov 27 06:00","0","0","14.125","22.3420778884946","16.3673800051264"
"Year 1 Nov 27 07:00","0","0","15.275","22.0268865181373","16.3863395933238"
"Year 1 Nov 27 08:00","54.25","81.75","16.9","21.7381110826037","17.7600530815259"
"Year 1 Nov 27 09:00","131","378.25","18.575","21.5038755758443","20.5384676803461"
"Year 1 Nov 27 10:00","145.75","625.25","21.325","21.3900883243781","23.5993899768556"
"Year 1 Nov 27 11:00","126","787.25","24.35","21.4521389328821","26.4368646872813"
"Year 1 Nov 27 12:00","123.5","842.75","27.425","21.6970892342984","29.1834768901399"
"Year 1 Nov 27 13:00","123.75","851","29.025","22.1068883286015","30.9970401878564"
"Year 1 Nov 27 14:00","117.25","830","30.05","22.6284343822757","31.9575033787604"
"Year 1 Nov 27 15:00","109.75","757.25","31.125","23.2098856548792","32.305386652073"
"Year 1 Nov 27 16:00","108","577.25","30.8","23.8014254347907","31.638169019201"
"Year 1 Nov 27 17:00","78.25","276","30","24.3289234207934","29.9552217635402"
"Year 1 Nov 27 18:00","12.5","0","29.2","24.7415862730783","27.7432884031784"
"Year 1 Nov 27 19:00","0","0","26","24.9986427865025","25.8328499917136"
"Year 1 Nov 27 20:00","0","0","22","25.079278028497","23.8286826700981"
"Year 1 Nov 27 21:00","0","0","18","25.0031881766866","21.7696291719776"
"Year 1 Nov 27 22:00","0","0","16.325","24.790097187659","20.3560425206063"
"Year 1 Nov 27 23:00","0","0","15.35","24.490650872166","19.304013339572"
"Year 1 Nov 28 00:00","0","0","14.425","24.1304345952211","18.3742856553989"
"Year 1 Nov 28 01:00","0","0","15.025","23.7398926173311","17.9963623344076"
"Year 1 Nov 28 02:00","0","0","16.05","23.3508530758807","17.942470199075"
"Year 1 Nov 28 03:00","0","0","17.125","22.9817592288166","18.0310974743156"
"Year 1 Nov 28 04:00","0","0","17.175","22.64671119847","17.9109751076668"
"Year 1 Nov 28 05:00","0","0","16.8","22.3542147203882","17.6197848468665"
"Year 1 Nov 28 06:00","0","0","16.475","22.0912034428158","17.3207759627858"
"Year 1 Nov 28 07:00","0","0","17","21.8471987397528","17.2794262595032"
"Year 1 Nov 28 08:00","53.25","78.5","17.8","21.624555953455","18.4803428375314"
"Year 1 Nov 28 09:00","130","377.5","18.6","21.4439528259947","21.2529910715341"
"Year 1 Nov 28 10:00","145","625","21.125","21.3698184801183","24.2574669079743"
"Year 1 Nov 28 11:00","126","786","24.15","21.4647282031412","26.9480196190828"
"Year 1 Nov 28 12:00","123.75","840.5","27.225","21.7340610239311","29.5001471709399"
"Year 1 Nov 28 13:00","124.5","848.25","28.75","22.157350310658","31.1625217022742"
"Year 1 Nov 28 14:00","117.25","828.25","29.75","22.6802788086493","32.0134777129208"
"Year 1 Nov 28 15:00","110.25","754.5","30.75","23.25580728842","32.2497506298669"
"Year 1 Nov 28 16:00","109.75","569","30.325","23.8324955461202","31.5233712213161"
"Year 1 Nov 28 17:00","79","269.25","29.5","24.3364459999292","29.8384063483067"
"Year 1 Nov 28 18:00","12.5","0","28.625","24.7273205657585","27.5728547715293"
"Year 1 Nov 28 19:00","0","0","25.55","24.964015005878","25.6993509677355"
"Year 1 Nov 28 20:00","0","0","21.75","25.0277393634974","23.617552627617"
"Year 1 Nov 28 21:00","0","0","17.95","24.9376413809438","21.3026388301594"
"Year 1 Nov 28 22:00","0","0","16.175","24.7075169688176","19.7963241069656"
"Year 1 Nov 28 23:00","0","0","15.15","24.3818078164671","18.841933926169"
"Year 1 Nov 29 00:00","0","0","14.075","23.9943717330922","18.0071135867079"
"Year 1 Nov 29 01:00","0","0","14.1","23.5804862614165","17.494371998457"
"Year 1 Nov 29 02:00","0","0","14.5","23.1691344213869","17.2049767805786"
"Year 1 Nov 29 03:00","0","0","14.9","22.7730226960578","17.0064723858111"
"Year 1 Nov 29 04:00","0","0","14.475","22.3988592706715","16.6182522611381"
"Year 1 Nov 29 05:00","0","0","13.85","22.0516059886","16.1333883045985"
"Year 1 Nov 29 06:00","0","0","13.175","21.7241606494147","15.6084794795398"
"Year 1 Nov 29 07:00","0","0","14.275","21.407833934597","15.6282563141684"
"Year 1 Nov 29 08:00","54","71","16.05","21.1170193667419","17.0474054804756"
"Year 1 Nov 29 09:00","134","358","17.775","20.8815549236194","20.0853969507407"
"Year 1 Nov 29 10:00","142.75","628.75","20.675","20.7715865547955","23.2063796565984"
"Year 1 Nov 29 11:00","122.75","792.75","23.9","20.8467258540044","26.0777702820612"
"Year 1 Nov 29 12:00","119.5","849.75","27.175","21.1098440979722","28.8371815820647"
"Year 1 Nov 29 13:00","119.5","858.75","28.825","21.539401220541","30.6486433399024"
"Year 1 Nov 29 14:00","112.5","840.5","29.85","22.0790026033617","31.5854182010958"
"Year 1 Nov 29 15:00","110.75","757.75","30.925","22.6760915742792","31.952949589938"
"Year 1 Nov 29 16:00","120","550.75","30.525","23.2809232848084","31.4073000659806"
"Year 1 Nov 29 17:00","78.25","273","29.55","23.8220919605532","29.6081396532912"
"Year 1 Nov 29 18:00","12.5","0","28.625","24.2465565382757","27.3380354823111"
"Year 1 Nov 29 19:00","0","0","25.25","24.5109693018627","25.3906231850265"
"Year 1 Nov 29 20:00","0","0","21.05","24.5934141893364","23.3715516613601"
"Year 1 Nov 29 21:00","0","0","16.85","24.5142927761353","21.262459947037"
"Year 1 Nov 29 22:00","0","0","15.125","24.2960946678492","19.818035904957"
"Year 1 Nov 29 23:00","0","0","14.15","23.9912783462335","18.7544513448083"
"Year 1 Nov 30 00:00","0","0","13.225","23.623879155262","17.8157020883677"
"Year 1 Nov 30 01:00","0","0","13.15","23.2249487596103","17.1992865221495"
"Year 1 Nov 30 02:00","0","0","13.35","22.8195302518616","16.7921155890723"
"Year 1 Nov 30 03:00","0","0","13.55","22.4215052119287","16.468825014136"
"Year 1 Nov 30 04:00","0","0","14.425","22.0410862879917","16.3783338289398"
"Year 1 Nov 30 05:00","0","0","15.45","21.6907267962329","16.4213359475647"
"Year 1 Nov 30 06:00","0","0","16.525","21.3847392138849","16.5973278273271"
"Year 1 Nov 30 07:00","0","0","17.475","21.1233334086818","16.8620055244702"
"Year 1 Nov 30 08:00","53.75","71","18.3","20.907396510745","18.1161198493637"
"Year 1 Nov 30 09:00","133.25","357.75","19.175","20.7509481197284","20.82331470446"
"Year 1 Nov 30 10:00","142.75","627.25","21.575","20.7055481115013","23.6976764298084"
"Year 1 Nov 30 11:00","123","789","24.55","20.8236065044998","26.404656917797"
"Year 1 Nov 30 12:00","120.5","844.5","27.475","21.1108823054709","28.9984437868733"
"Year 1 Nov 30 13:00","120.25","856.25","29.175","21.5472539216667","30.8383066699666"
"Year 1 Nov 30 14:00","112","840.5","30.4","22.0854990539123","31.9229627173916"
"Year 1 Nov 30 15:00","104.5","771","31.675","22.6845094451331","32.4007742209611"
"Year 1 Nov 30 16:00","105.5","586","31.175","23.2962587456446","31.7508933069234"
"Year 1 Nov 30 17:00","77.5","280","30.15","23.8444411269639","29.955311285077"
"Year 1 Nov 30 18:00","12.5","0.5","29.075","24.2768351954856","27.7188372864997"
"Year 1 Nov 30 19:00","0","0","24.75","24.5469836588802","25.337583553108"
"Year 1 Nov 30 20:00","0","0","21.75","24.6264268698338","23.4739449781545"
"Year 1 Nov 30 21:00","0","0","19.55","24.5539878399667","22.0339538757287"
"Year 1 Nov 30 22:00","0","0","17.65","24.3586009648116","20.7278673451857"
"Year 1 Nov 30 23:00","0","0","16.3","24.0823333466235","19.6243983099752"
"Year 1 Dec 01 00:00","0","0","15.625","23.7546215079192","18.8028367847866"
"Year 1 Dec 01 01:00","0","0","15.425","23.4012937425609","18.5605207418898"
"Year 1 Dec 01 02:00","0","0","15.475","23.0451076130971","18.3538179263672"
"Year 1 Dec 01 03:00","0","0","15.35","22.7082534355396","18.0173110318253"
"Year 1 Dec 01 04:00","0","0","15","22.3937355638342","17.6304900321241"
"Year 1 Dec 01 05:00","0","0","14.3","22.0954950680626","17.1246797438927"
"Year 1 Dec 01 06:00","0","0","13.5","21.8040675016306","16.5678982628308"
"Year 1 Dec 01 07:00","0","0","14.35","21.5188089758919","16.5021727249578"
"Year 1 Dec 01 08:00","49.5","62.5","15.45","21.2510523635685","17.6439521663316"
"Year 1 Dec 01 09:00","128.75","296","16.375","21.0254212808952","20.2031213452858"
"Year 1 Dec 01 10:00","184.25","429","19.525","20.9066388067323","23.5566612316936"
"Year 1 Dec 01 11:00","258.75","402.5","23.5","20.9664080301341","27.2807064341067"
"Year 1 Dec 01 12:00","311.75","342.75","27.425","21.2356661706776","30.6309692476286"
"Year 1 Dec 01 13:00","349","237.75","28.4","21.7088737193411","32.5013375827076"
"Year 1 Dec 01 14:00","336","135.25","28.4","22.3099552641428","32.8984494731025"
"Year 1 Dec 01 15:00","262.5","79.25","28.4","22.9747775936662","32.1310944419879"
"Year 1 Dec 01 16:00","187","37","27.875","23.5911163034407","30.8564892546508"
"Year 1 Dec 01 17:00","85.5","12","27.1","24.0904827418459","28.81230883178"
"Year 1 Dec 01 18:00","7.5","0","26.375","24.4405747180565","26.7125426137524"
"Year 1 Dec 01 19:00","0","0","25.675","24.6271981851305","25.6977776475973"
"Year 1 Dec 01 20:00","0","0","24.9","24.6757521281169","24.9793070737563"
"Year 1 Dec 01 21:00","0","0","24.175","24.6351825880332","24.3686919238453"
"Year 1 Dec 01 22:00","0","0","23.475","24.5430565038729","23.8128774553807"
"Year 1 Dec 01 23:00","0","0","22.7","24.4201460412255","23.2651748122609"
"Year 1 Dec 02 00:00","0","0","21.975","24.2764644408504","22.7463061083411"
"Year 1 Dec 02 01:00","0","0","21.5","24.1176262245322","22.30725629194"
"Year 1 Dec 02 02:00","0","0","21.1","23.9508004789979","21.905938990394"
"Year 1 Dec 02 03:00","0","0","20.7","23.7783495271342","21.5285360769839"
"Year 1 Dec 02 04:00","0","0","20.525","23.6032621521717","21.223731333178"
"Year 1 Dec 02 05:00","0","0","20.5","23.4303719106559","20.9862463778578"
"Year 1 Dec 02 06:00","0","0","20.425","23.2613762247619","20.7756868827311"
"Year 1 Dec 02 07:00","0","0","20.475","23.0979883101669","20.6253659087382"
"Year 1 Dec 02 08:00","35.75","19.25","20.5","22.9421668218874","21.1542445802924"
"Year 1 Dec 02 09:00","124","107.25","20.575","22.8066908413506","23.0141614287951"
"Year 1 Dec 02 10:00","221","249.5","22.25","22.7378749410901","26.06855643243"
"Year 1 Dec 02 11:00","244.25","453.25","24.45","22.8039986699355","28.993250401583"
"Year 1 Dec 02 12:00","219","613.75","26.65","23.0420011020976","31.2033031688289"
"Year 1 Dec 02 13:00","208.5","639.25","27.2","23.4317271529536","32.385702639255"
"Year 1 Dec 02 14:00","214.75","592.25","27.125","23.9180585619703","32.8558264944446"
"Year 1 Dec 02 15:00","182.25","545.25","27.1","24.4280066984659","32.4801145494056"
"Year 1 Dec 02 16:00","139.5","427.25","27.1","24.9063480662457","31.395225806915"
"Year 1 Dec 02 17:00","86.75","195","27.025","25.3066729035589","29.6551240187881"
"Year 1 Dec 02 18:00","11.5","0","27","25.5929109578639","27.6316188067958"
"Year 1 Dec 02 19:00","0","0","25.725","25.7417199897815","26.3429548088849"
"Year 1 Dec 02 20:00","0","0","24.1","25.7558699659842","25.1876567437549"
"Year 1 Dec 02 21:00","0","0","22.425","25.6711896260451","24.0102503298858"
"Year 1 Dec 02 22:00","0","0","21.625","25.5128566355158","23.1209529344818"
"Year 1 Dec 02 23:00","0","0","21.05","25.3057513135834","22.3878426514476"
"Year 1 Dec 03 00:00","0","0","20.525","25.0668876436918","21.7347676937975"
"Year 1 Dec 03 01:00","0","0","19.875","24.8086437976827","21.1799695130074"
"Year 1 Dec 03 02:00","0","0","19.25","24.5415742095066","20.691306299654"
"Year 1 Dec 03 03:00","0","0","18.575","24.2726299784185","20.1719094576899"
"Year 1 Dec 03 04:00","0","0","18.25","24.0035880125417","19.7030477872923"
"Year 1 Dec 03 05:00","0","0","18.05","23.7366367532874","19.2607730131712"
"Year 1 Dec 03 06:00","0","0","17.85","23.4698640606433","18.8488843793669"
"Year 1 Dec 03 07:00","0","0","18.7","23.2081219872445","18.8907215115274"
"Year 1 Dec 03 08:00","50.5","70.25","19.9","22.9682526018575","20.093773811871"
"Year 1 Dec 03 09:00","133","341.25","21.1","22.7765971279444","22.6428971838087"
"Year 1 Dec 03 10:00","149.25","597.75","23.05","22.69218411053","25.2658651385519"
"Year 1 Dec 03 11:00","119.5","781.5","25.25","22.7620712770699","27.5218168859183"
"Year 1 Dec 03 12:00","128.5","815.25","27.45","22.987158389406","29.7039412485131"
"Year 1 Dec 03 13:00","132","818.25","28.825","23.3451190277507","31.3593425858304"
"Year 1 Dec 03 14:00","126.25","795","30","23.7952929519329","32.4916349483641"
"Year 1 Dec 03 15:00","115.75","728.75","31.125","24.3060400495219","32.9549097411635"
"Year 1 Dec 03 16:00","107","563.5","31.025","24.8361538842949","32.3894876491425"
"Year 1 Dec 03 17:00","82","255.25","30.6","25.3146959048127","30.9213541915697"
"Year 1 Dec 03 18:00","12.5","0.5","30.125","25.6997929203393","28.8605776902742"
"Year 1 Dec 03 19:00","0","0","28.65","25.9488563393374","27.5363797031082"
"Year 1 Dec 03 20:00","0","0","26.85","26.055012253825","26.473538026156"
"Year 1 Dec 03 21:00","0","0","25.05","26.0508585392975","25.4692983274871"
"Year 1 Dec 03 22:00","0","0","24.45","25.9678492017663","24.8294742004953"
"Year 1 Dec 03 23:00","0","0","24.25","25.8387892503291","24.4263795302531"
"Year 1 Dec 04 00:00","0","0","24.05","25.6841671624174","24.1064062834536"
"Year 1 Dec 04 01:00","0","0","23.775","25.5209113577602","23.789501663167"
"Year 1 Dec 04 02:00","0","0","23.55","25.35740432657","23.4967912780969"
"Year 1 Dec 04 03:00","0","0","23.275","25.1976472852755","23.2056599332563"
"Year 1 Dec 04 04:00","0","0","22.975","25.0408178125167","22.8851174309785"
"Year 1 Dec 04 05:00","0","0","22.6","24.8864015189141","22.546273396363"
"Year 1 Dec 04 06:00","0","0","22.275","24.7322698194266","22.1973848679249"
"Year 1 Dec 04 07:00","0","0","22.275","24.5768333669201","21.997200911921"
"Year 1 Dec 04 08:00","47.25","38","22.45","24.4218400362847","22.7239855218535"
"Year 1 Dec 04 09:00","141","145.5","22.575","24.2880827434639","24.5468500223226"
"Year 1 Dec 04 10:00","225.75","98.25","22.825","24.2221301911593","26.441097300292"
"Year 1 Dec 04 11:00","232.25","11.25","23.05","24.2613302786478","27.2972355350855"
"Year 1 Dec 04 12:00","152.25","0.5","23.325","24.3837731597028","15.9040712959131"
"Year 1 Dec 04 13:00","205.5","5","22.95","24.3533818486336","20.0371606148687"
"Year 1 Dec 04 14:00","226.5","16.5","22.35","24.0944611632704","25.1271100717245"
"Year 1 Dec 04 15:00","212.25","21.5","21.75","23.9342144653996","25.4284667705112"
"Year 1 Dec 04 16:00","163","11.25","21.15","23.9421705023171","24.6147486318955"
"Year 1 Dec 04 17:00","81","2.25","20.55","24.0146030906723","23.0325491858177"
